"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/DataStructures/Graphs/MatrixGraphs.java","3","91","These nested if statements could be combined","Design","CollapsibleIfStatements"
"2","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/DataStructures/Graphs/MatrixGraphs.java","3","112","These nested if statements could be combined","Design","CollapsibleIfStatements"
"1","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/DataStructures/Trees/RedBlackBST.java","2","307","Avoid using a branching statement as the last in a loop.","Error Prone","AvoidBranchingStatementAsLastInLoop"
"1","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/Others/ReverseString.java","3","20","The null check here is misplaced; if the variable is null there will be a NullPointerException","Error Prone","MisplacedNullCheck"
"1","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/Others/countwords.java","3","22","The null check here is misplaced; if the variable is null there will be a NullPointerException","Error Prone","MisplacedNullCheck"
"1","","/home/lucas/sts_workspace/cleangame/repsgit/1/36/Others/removeDuplicateFromString.java","3","30","The null check here is misplaced; if the variable is null there will be a NullPointerException","Error Prone","MisplacedNullCheck"
"1","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","254","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"2","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","254","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"3","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","254","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"4","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","255","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"5","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","255","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"6","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","255","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"7","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","255","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"8","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","255","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"9","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","256","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"10","ciphers","/home/lucas/sts_workspace/cleangame/repsgit/1/36/ciphers/AES.java","3","256","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
